Product Name,Description,URL,Page Number
TruffleHog OSS,Scan Github Actions with TruffleHog,https://github.com/marketplace/actions/trufflehog-oss,1
Metrics embed,An infographics generator with 40+ plugins and 300+ options to display stats about your GitHub account,https://github.com/marketplace/actions/metrics-embed,1
yq - portable yaml processor,"create, read, update, delete, merge, validate and do more with yaml",https://github.com/marketplace/actions/yq-portable-yaml-processor,1
Super-Linter,"Super-linter is a ready-to-run collection of linters and code analyzers, to help validate your source code",https://github.com/marketplace/actions/super-linter,1
Gosec Security Checker,Runs the gosec security checker,https://github.com/marketplace/actions/gosec-security-checker,1
Rebuild Armbian and Kernel,"Support Amlogic, Rockchip and Allwinner boxes",https://github.com/marketplace/actions/rebuild-armbian-and-kernel,1
OpenCommit — improve commits with AI 🧙,Replaces lame commit messages with meaningful AI-generated messages when you push to remote,https://github.com/marketplace/actions/opencommit-improve-commits-with-ai,1
Checkout,Checkout a Git repository at a particular version,https://github.com/marketplace/actions/checkout,1
SSH Remote Commands,Executing remote ssh commands,https://github.com/marketplace/actions/ssh-remote-commands,1
GitHub Pages action,GitHub Actions for GitHub Pages 🚀 Deploy static files and publish your site easily. Static-Site-Generators-friendly,https://github.com/marketplace/actions/github-pages-action,1
Cache,Cache artifacts like dependencies and build outputs to improve workflow execution time,https://github.com/marketplace/actions/cache,1
generate-snake-game-from-github-contribution-grid,Generates a snake game from a github user contributions grid. Output the animation as gif or svg,https://github.com/marketplace/actions/generate-snake-game-from-github-contribution-grid,1
Build and push Docker images,Build and push Docker images with Buildx,https://github.com/marketplace/actions/build-and-push-docker-images,1
GH Release,Github Action for creating Github Releases,https://github.com/marketplace/actions/gh-release,1
run-digger,Manage terraform collaboration,https://github.com/marketplace/actions/run-digger,1
Rebuild Armbian,Build Armbian Linux,https://github.com/marketplace/actions/rebuild-armbian,1
GitHub Script,Run simple scripts using the GitHub client,https://github.com/marketplace/actions/github-script,1
Deploy to GitHub Pages,This action will handle the deployment process of your project to GitHub Pages,https://github.com/marketplace/actions/deploy-to-github-pages,1
ChatGPT CodeReviewer,A Code Review Action Powered By ChatGPT,https://github.com/marketplace/actions/chatgpt-codereviewer,1
FTP Deploy,Automate deploying websites and more with this GitHub action via FTP and FTPS,https://github.com/marketplace/actions/ftp-deploy,1
Setup Node.js environment,Setup a Node.js environment by adding problem matchers and optionally downloading and adding it to the PATH,https://github.com/marketplace/actions/setup-node-js-environment,2
run-ansible-lint,Run Ansible Lint,https://github.com/marketplace/actions/run-ansible-lint,2
fastpages: An easy to use blogging platform with support for Jupyter Notebooks.,Converts Jupyter notebooks and Word docs into Jekyll blog posts,https://github.com/marketplace/actions/fastpages-an-easy-to-use-blogging-platform-with-support-for-jupyter-notebooks,2
Release Drafter,Drafts your next release notes as pull requests are merged into master,https://github.com/marketplace/actions/release-drafter,2
Profile Readme Development Stats,Are you an early 🐤 or a night 🦉? When are you most productive during the day? Let s check out in your readme,https://github.com/marketplace/actions/profile-readme-development-stats,2
Upload a Build Artifact,Upload a build artifact that can be used by subsequent workflow steps,https://github.com/marketplace/actions/upload-a-build-artifact,2
Debugging with tmate,Debug your GitHub Actions Environment interactively by using SSH or a Web shell,https://github.com/marketplace/actions/debugging-with-tmate,2
Blog Post Workflow,Allows you to show your latest blog posts on your github profile or project readme,https://github.com/marketplace/actions/blog-post-workflow,2
Setup PHP Action,GitHub Action for PHP,https://github.com/marketplace/actions/setup-php-action,2
typos-action,Run typos to check spelling in GitHub actions,https://github.com/marketplace/actions/typos-action,2
GitHub-Profile-Summary-Cards,Generate profile summary cards and commit to default branch,https://github.com/marketplace/actions/github-profile-summary-cards,2
Hercules Insights,Run various Git history analyses with src-d/hercules,https://github.com/marketplace/actions/hercules-insights,2
wemake-python-styleguide,Runs wemake-python-styleguide as a Github Action,https://github.com/marketplace/actions/wemake-python-styleguide,2
"""Configure AWS Credentials"" Action for GitHub Actions",Configures AWS credentials for use in subsequent steps in a GitHub Action workflow,https://github.com/marketplace/actions/configure-aws-credentials-action-for-github-actions,2
Paths Changes Filter,Execute your workflow steps only if relevant files are modified,https://github.com/marketplace/actions/paths-changes-filter,2
Flutter action,Setup your runner with Flutter environment,https://github.com/marketplace/actions/flutter-action,2
Create Pull Request,Creates a pull request for changes to your repository in the actions workspace,https://github.com/marketplace/actions/create-pull-request,2
Git Auto Commit,Automatically commits files which have been changed during the workflow run and push changes back to remote repository,https://github.com/marketplace/actions/git-auto-commit,2
Labeler,Automatically label new pull requests based on the paths of files being changed,https://github.com/marketplace/actions/labeler,2
Make OpenWrt,"Support Amlogic, Rockchip and Allwinner boxes",https://github.com/marketplace/actions/make-openwrt,2
MegaLinter,Combine all available linters to automatically validate your sources without configuration,https://github.com/marketplace/actions/megalinter,3
jd - JSON diff and patch,"jd is a utility for diffing and patching JSON and YAML values. It also supports JSON Merge Patch and a subset of JSON
Patch",https://github.com/marketplace/actions/jd-json-diff-and-patch,3
Is Website vulnerable,Scans a url for public javascript library vulnerabilities,https://github.com/marketplace/actions/is-website-vulnerable,3
Changed Files,"Get all Added, Copied, Modified, Deleted, Renamed, Type changed, Unmerged, and Unknown files",https://github.com/marketplace/actions/changed-files,3
release-please-action,automated releases based on conventional commits,https://github.com/marketplace/actions/release-please-action,3
Code Review GPT,Reviews the staged files with a GPT model from OpenAI,https://github.com/marketplace/actions/code-review-gpt,3
Setup Python,Set up a specific version of Python and add the command-line tools to the PATH,https://github.com/marketplace/actions/setup-python,3
Install cargo-binstall,Install the latest version of cargo-binstall tool,https://github.com/marketplace/actions/install-cargo-binstall,3
Set up gcloud Cloud SDK environment,"Downloads, installs, and configures a Google Cloud SDK environment. Adds the gcloud CLI command to the $PATH",https://github.com/marketplace/actions/set-up-gcloud-cloud-sdk-environment,3
Step CI Action,Run Step CI workflows,https://github.com/marketplace/actions/step-ci-action,3
Swift Doc,Generates documentation for your Swift project,https://github.com/marketplace/actions/swift-doc,3
The SILE Typesetter,Simon’s Improved Layout Engine,https://github.com/marketplace/actions/the-sile-typesetter,3
GraphQL Inspector,"Tooling for GraphQL. Compare schemas, find breaking changes, find similar types",https://github.com/marketplace/actions/graphql-inspector,3
AI-based PR Reviewer & Summarizer with Chat Capabilities,AI-based PR Reviewer Summarizer with Chat Capabilities,https://github.com/marketplace/actions/ai-based-pr-reviewer-summarizer-with-chat-capabilities,3
Waka - Readme,WakaTime coding activity graph in your profile readme,https://github.com/marketplace/actions/waka-readme,3
Setup Java JDK,Set up a specific version of the Java JDK and add the command-line tools to the PATH,https://github.com/marketplace/actions/setup-java-jdk,3
Codecov,GitHub Action that uploads coverage reports for your repository to codecov.io,https://github.com/marketplace/actions/codecov,3
Languine.ai,Automated localization infrastructure,https://github.com/marketplace/actions/languine-ai,3
setup-ngs,Next Generation Shell (NGS),https://github.com/marketplace/actions/setup-ngs,3
Download a Build Artifact,Download a build artifact that was previously uploaded in the workflow by the upload-artifact action,https://github.com/marketplace/actions/download-a-build-artifact,3
Lua Busted,Busted,https://github.com/marketplace/actions/lua-busted,4
Hugo setup,GitHub Actions for Hugo ⚡️ Setup Hugo quickly and build your site fast. Hugo extended and Hugo Modules are supported,https://github.com/marketplace/actions/hugo-setup,4
Create Release,Creates github releases,https://github.com/marketplace/actions/create-release,4
Setup Go environment,Setup a Go environment and add it to the PATH,https://github.com/marketplace/actions/setup-go-environment,4
Image Actions,Compresses Images for the Web,https://github.com/marketplace/actions/image-actions,4
waka-box,Update a pinned gist to contain WakaTime stats,https://github.com/marketplace/actions/waka-box,4
Close Stale Issues,Close issues and pull requests with no recent activity,https://github.com/marketplace/actions/close-stale-issues,4
HashiCorp - Setup Terraform,Sets up Terraform CLI in your GitHub Actions workflow,https://github.com/marketplace/actions/hashicorp-setup-terraform,4
Lost Pixel,Lost Pixel Integration,https://github.com/marketplace/actions/lost-pixel,4
Rust Cache,A GitHub Action that implements smart caching for rust/cargo projects with sensible defaults,https://github.com/marketplace/actions/rust-cache,4
Cypress.io,GitHub Action for running Cypress end-to-end and component tests,https://github.com/marketplace/actions/cypress-io,4
Deploy to Cloudflare Workers with Wrangler,Deploy your Cloudflare projects from GitHub using Wrangler,https://github.com/marketplace/actions/deploy-to-cloudflare-workers-with-wrangler,4
Replexica,Accurate AI localization for web mobile apps,https://github.com/marketplace/actions/replexica,4
SCP Command to Transfer Files,How to Use SCP Command to Transfer Files/Folders in Linux,https://github.com/marketplace/actions/scp-command-to-transfer-files,4
SCP Files,Copy files and artifacts via SSH,https://github.com/marketplace/actions/scp-files,4
Automatic Pull Request,Bring your codebase alive,https://github.com/marketplace/actions/automatic-pull-request,4
webfactory/ssh-agent,Run ssh-agent and load an SSH key to access other private repositories,https://github.com/marketplace/actions/webfactory-ssh-agent,4
setup-mkosi,Install mkosi,https://github.com/marketplace/actions/setup-mkosi,4
Stelligent cfn_nag,Execute cfn_nag_scan against the code in the repository where the GitHub Action workflow is run,https://github.com/marketplace/actions/stelligent-cfn_nag,4
ssh deploy,NodeJS action for FAST deployment with rsync/ssh and remote script execution before/after rsync,https://github.com/marketplace/actions/ssh-deploy,4
rustup toolchain install,Install the Rust toolchain,https://github.com/marketplace/actions/rustup-toolchain-install,5
GitHub Push,Pushing to GitHub repository local changes,https://github.com/marketplace/actions/github-push,5
Lighthouse CI Action,Audit URLs using Lighthouse and test performance with Lighthouse CI,https://github.com/marketplace/actions/lighthouse-ci-action,5
Repo Visualizer,A GitHub Action that creates an SVG diagram of your repo,https://github.com/marketplace/actions/repo-visualizer,5
GitHub-Profile-3D-Contrib,Generate profile 3D Contributions,https://github.com/marketplace/actions/github-profile-3d-contrib,5
Github Action for LaTeX,GitHub Action to compile LaTeX documents,https://github.com/marketplace/actions/github-action-for-latex,5
Add & Commit,Automatically commit changes made in your workflow run directly to your repo,https://github.com/marketplace/actions/add-commit,5
Docker Login,GitHub Action to login against a Docker registry,https://github.com/marketplace/actions/docker-login,5
Golangci-lint,"Official golangci-lint action with line-attached annotations for found issues, caching and parallel execution",https://github.com/marketplace/actions/golangci-lint,5
Slack Notify,This action will send a notification to Slack,https://github.com/marketplace/actions/slack-notify,5
Continuous Benchmark,Continuous Benchmark using GitHub pages as dash board for keeping performance,https://github.com/marketplace/actions/continuous-benchmark,5
S3 Sync,Sync a directory to an AWS S3 repository,https://github.com/marketplace/actions/s3-sync,5
semantic-pull-request,Ensure your PR title matches the Conventional Commits spec (https://www.conventionalcommits.org/),https://github.com/marketplace/actions/semantic-pull-request,5
Slack: Send to Slack,"Send data to Slack to start a Slack workflow in Workflow Builder, call a Slack API method, or post a message into a
channel",https://github.com/marketplace/actions/slack-send-to-slack,5
Docker Setup Buildx,Set up Docker Buildx,https://github.com/marketplace/actions/docker-setup-buildx,5
Authenticate to Google Cloud,Authenticate to Google Cloud from GitHub Actions via Workload Identity Federation or service account keys,https://github.com/marketplace/actions/authenticate-to-google-cloud,5
Android Emulator Runner,"Installs, configures and starts an Android Emulator directly on hardware-accelerated runners",https://github.com/marketplace/actions/android-emulator-runner,5
Repository Dispatch,Create a repository dispatch event,https://github.com/marketplace/actions/repository-dispatch,5
Setup pnpm,Install pnpm package manager,https://github.com/marketplace/actions/setup-pnpm,5
pypi-publish,Upload Python distribution packages to PyPI,https://github.com/marketplace/actions/pypi-publish,5
Check PHP syntax errors,Find php syntax errors,https://github.com/marketplace/actions/check-php-syntax-errors,6
Deploy to Heroku,Deploy an app to Heroku,https://github.com/marketplace/actions/deploy-to-heroku,6
Setup .NET Core SDK,"Used to build and publish .NET source. Set up a specific version of the .NET and authentication to private NuGet
repository",https://github.com/marketplace/actions/setup-net-core-sdk,6
Setup Sherif,"Setup and run Sherif, an opinionated, zero-config linter for JavaScript monorepos",https://github.com/marketplace/actions/setup-sherif,6
Docker Metadata action,"GitHub Action to extract metadata (tags, labels) for Docker",https://github.com/marketplace/actions/docker-metadata-action,6
"Amazon ECR ""Login"" Action for GitHub Actions",Logs in the local Docker client to one or more Amazon ECR Private registries or an Amazon ECR Public registry,https://github.com/marketplace/actions/amazon-ecr-login-action-for-github-actions,6
Cancel Workflow Action,This Action will cancel any previous runs that are not completed for a given workflow,https://github.com/marketplace/actions/cancel-workflow-action,6
GitHub Action for Firebase,Wraps the firebase-tools CLI to enable common commands,https://github.com/marketplace/actions/github-action-for-firebase,6
Telegram Message Notify,Sending a Telegram message,https://github.com/marketplace/actions/telegram-message-notify,6
Telegram Notify,Sending a Telegram message,https://github.com/marketplace/actions/telegram-notify,6
GoReleaser Action,"GitHub Action for GoReleaser, a release automation tool for Go projects",https://github.com/marketplace/actions/goreleaser-action,6
Test Reporter,"Shows test results in GitHub UI: .NET (xUnit, NUnit, MSTest), Dart, Flutter, Java (JUnit), JavaScript (JEST, Mocha)",https://github.com/marketplace/actions/test-reporter,6
Unity - Builder,Build Unity projects for different platforms,https://github.com/marketplace/actions/unity-builder,6
Aqua Security Trivy,Scans container images for vulnerabilities with Trivy,https://github.com/marketplace/actions/aqua-security-trivy,6
Merge pull requests (automerge-action),Automatically merge pull requests that are ready,https://github.com/marketplace/actions/merge-pull-requests-automerge-action,6
Python Semantic Release,Automated Releases via SemVer and Commit Message Conventions,https://github.com/marketplace/actions/python-semantic-release,6
Expo GitHub Action,"Publish, build or manage your Expo app with GitHub Actions",https://github.com/marketplace/actions/expo-github-action,6
"Setup Ruby, JRuby and TruffleRuby",Download a prebuilt Ruby and add it to the PATH in 5 seconds,https://github.com/marketplace/actions/setup-ruby-jruby-and-truffleruby,6
GitHub - Activity - Readme,Updates README with the recent GitHub activity of a user,https://github.com/marketplace/actions/github-activity-readme,6
Upload Android Release to Play Store,An action to upload a signed Android release (.apk or .aab) to the Google Play Store Developer Console,https://github.com/marketplace/actions/upload-android-release-to-play-store,6
godot-ci,"Docker image to export Godot Engine games. Templates for Gitlab CI/GitHub Actions deploy to GitLab/GitHub Pages or
Itch.io",https://github.com/marketplace/actions/godot-ci,7
Lua LDoc,LDoc,https://github.com/marketplace/actions/lua-ldoc,7
Github Tag Bump,Bump and push git tag on merge,https://github.com/marketplace/actions/github-tag-bump,7
Legitify Analyze,Legitify GitHub Action,https://github.com/marketplace/actions/legitify-analyze,7
Publish Docker,Uses the git branch as the docker tag and pushes the container,https://github.com/marketplace/actions/publish-docker,7
First interaction,Greet new contributors when they create their first issue or open their first pull request,https://github.com/marketplace/actions/first-interaction,7
On-demand self-hosted AWS EC2 runner for GitHub Actions,GitHub Action for automatic creation and registration AWS EC2 instance as a GitHub Actions self-hosted runner,https://github.com/marketplace/actions/on-demand-self-hosted-aws-ec2-runner-for-github-actions,7
AI Code Review Action,Perform code reviews and comment on diffs using OpenAI API,https://github.com/marketplace/actions/ai-code-review-action,7
Release Changelog Builder,"A GitHub action that builds your release notes / changelog fast, easy and exactly the way you want",https://github.com/marketplace/actions/release-changelog-builder,7
Automatic Releases,"Automate the GitHub release process with assets, changelogs, pre-releases, and more",https://github.com/marketplace/actions/automatic-releases,7
Download workflow artifact,Download and extract an artifact associated with given workflow and commit or other criteria,https://github.com/marketplace/actions/download-workflow-artifact,7
Create or Update Comment,Create or update an issue or pull request comment,https://github.com/marketplace/actions/create-or-update-comment,7
swift-create-xcframework,"Creates XCFramework bundles for the products in your Swift Package and uploads them as Artifacts you can attach to a
release",https://github.com/marketplace/actions/swift-create-xcframework,7
Deploy to Firebase Hosting,A GitHub Action to deploy to Firebase Hosting,https://github.com/marketplace/actions/deploy-to-firebase-hosting,7
Deploy GitHub Pages site,A GitHub Action to deploy an artifact as a GitHub Pages site,https://github.com/marketplace/actions/deploy-github-pages-site,7
Run on architecture,"Run commands in a Linux container with a specific CPU architecture (armv6, armv7, aarch64, s390x, ppc64le)",https://github.com/marketplace/actions/run-on-architecture,7
"Twitter, together!","Collaborate on tweets just like you collaborate on code, using pull requests",https://github.com/marketplace/actions/twitter-together,7
Automatic Rebase,Automatically rebases PR on /rebase comment,https://github.com/marketplace/actions/automatic-rebase,7
Gradle Build Action,"Configures Gradle for GitHub actions, caching state and generating a dependency graph via Dependency Submission",https://github.com/marketplace/actions/gradle-build-action,7
Flank,Run Flank from Github actions,https://github.com/marketplace/actions/flank,7
